Baseline_Model_ID,Context_Length,Metric,BareTorch_Matched_Value,Baseline_Value,BareTorch_Advantage
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,4096,Projected_FPS_qualcomm_8_gen3,17.87,17.55,1.02x
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,4096,Projected_FPS_iphone_16_pro,44.69,43.87,1.02x
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,4096,Projected_FPS_apple_m3_max,89.37,87.73,1.02x
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,8192,Prefill_Latency_ms,284.17,308.33,+7.84%
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,8192,Local_GPU_Decode_tok_s,115.9,54.08,2.14x
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,8192,Active_Cache_MB,102.6,224.0,-54.20%
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,8192,Projected_FPS_raspberry_pi_5,4.99,4.82,1.04x
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,8192,Projected_FPS_qualcomm_8_gen3,17.61,17.0,1.04x
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,8192,Projected_FPS_iphone_16_pro,44.03,42.51,1.04x
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,8192,Projected_FPS_apple_m3_max,88.07,85.01,1.04x
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,16384,Prefill_Latency_ms,628.25,733.79,+14.38%
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,16384,Local_GPU_Decode_tok_s,117.72,53.06,2.22x
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,16384,Active_Cache_MB,204.6,448.0,-54.33%
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,16384,Projected_FPS_raspberry_pi_5,4.85,4.54,1.07x
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,16384,Projected_FPS_qualcomm_8_gen3,17.11,16.01,1.07x
